path,repeatability threshold,repeatability,localization error,homography threshold,Average correctness,nn mean AP,matching score
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_100000_checkpoint.pth.tar,3,0.596355505391655,1.0121745592108482,"[1, 3, 5, 10, 20, 50]",[0.46551724 0.73793103 0.80344828 0.84827586 0.8862069  0.93275862],0.8543495012379608,0.512141508398918
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_10000_checkpoint.pth.tar,3,0.5934371218251915,1.0553751571709473,"[1, 3, 5, 10, 20, 50]",[0.42413793 0.70517241 0.80172414 0.84655172 0.88448276 0.92586207],0.8308874803632871,0.4805631070580983
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_105000_checkpoint.pth.tar,3,0.6066724722103157,1.0366975826551574,"[1, 3, 5, 10, 20, 50]",[0.46551724 0.75344828 0.81896552 0.85172414 0.89310345 0.93793103],0.8521928907463668,0.5128638418879071
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_110000_checkpoint.pth.tar,3,0.6018523638542331,1.0147914162025748,"[1, 3, 5, 10, 20, 50]",[0.47413793 0.75862069 0.81896552 0.85862069 0.9        0.9362069 ],0.8529562391218339,0.5123215241759687
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_115000_checkpoint.pth.tar,3,0.6011830425392972,1.0194303897517991,"[1, 3, 5, 10, 20, 50]",[0.48448276 0.74827586 0.8137931  0.84655172 0.89137931 0.93965517],0.8565689689647772,0.5148106799182738
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_120000_checkpoint.pth.tar,3,0.6026341753374921,1.026998709059466,"[1, 3, 5, 10, 20, 50]",[0.45689655 0.75689655 0.81206897 0.84827586 0.89310345 0.93275862],0.8569439948134923,0.511760534306276
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_125000_checkpoint.pth.tar,3,0.6012164901715997,1.0174539652137802,"[1, 3, 5, 10, 20, 50]",[0.46724138 0.74137931 0.82068966 0.85344828 0.88793103 0.92931034],0.8558020048701129,0.517131870479308
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_130000_checkpoint.pth.tar,3,0.6013758688421592,1.0208615295003551,"[1, 3, 5, 10, 20, 50]",[0.47413793 0.75517241 0.81551724 0.85344828 0.88793103 0.92931034],0.8580993909845478,0.5143695517961421
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_135000_checkpoint.pth.tar,3,0.6053343844728213,1.029593241044197,"[1, 3, 5, 10, 20, 50]",[0.44827586 0.75517241 0.82586207 0.85689655 0.89827586 0.93448276],0.8506976611348279,0.5150927769660035
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_140000_checkpoint.pth.tar,3,0.5996047641928806,1.0075112045227024,"[1, 3, 5, 10, 20, 50]",[0.47586207 0.75172414 0.81896552 0.85689655 0.88793103 0.9362069 ],0.8573406767972848,0.5193178310367513
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_145000_checkpoint.pth.tar,3,0.6022928460288972,1.0192723714929477,"[1, 3, 5, 10, 20, 50]",[0.47931034 0.75862069 0.81724138 0.85517241 0.89137931 0.93103448],0.8524293437067109,0.5161966119813863
logs/superpoint_coco_ssmall_ML22/checkpoints/superPointNet_150000_checkpoint.pth.tar,3,0.6052887919538572,1.0253751961950845,"[1, 3, 5, 10, 20, 50]",[0.47241379 0.76724138 0.82586207 0.85344828 0.89482759 0.93793103],0.859001944466711,0.5166383500398567
